pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
59,British Columbia,Colombie-Britannique,2020-03-09 12:00:00 a.m.,32,0,1,32,5,0.63
24,Quebec,Québec,2020-03-09 12:00:00 a.m.,4,0,0,4,1,0.05
48,Alberta,Alberta,2020-03-09 12:00:00 a.m.,7,0,0,7,6,0.16
1,Canada,Canada,2020-03-09 12:00:00 a.m.,77,0,1,77,15,0.2
59,British Columbia,Colombie-Britannique,2020-03-11 12:00:00 a.m.,39,0,1,39,7,0.77
48,Alberta,Alberta,2020-03-11 12:00:00 a.m.,14,0,0,14,7,0.32
47,Saskatchewan,Saskatchewan,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
46,Manitoba,Manitoba,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
35,Ontario,Ontario,2020-03-11 12:00:00 a.m.,42,0,1,42,8,0.29
24,Quebec,Québec,2020-03-11 12:00:00 a.m.,7,0,0,7,3,0.08
13,New Brunswick,Nouveau-Brunswick,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
12,Nova Scotia,Nouvelle-Écosse,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
62,Nunavut,Nunavut,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
60,Yukon,Yukon,2020-03-11 12:00:00 a.m.,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-11 12:00:00 a.m.,1,0,0,1,1,0
1,Canada,Canada,2020-03-11 12:00:00 a.m.,103,0,2,103,26,0.27
59,British Columbia,Colombie-Britannique,2020-03-12 12:00:00 a.m.,46,0,1,46,7,0.91
48,Alberta,Alberta,2020-03-12 12:00:00 a.m.,19,0,0,19,5,0.43
47,Saskatchewan,Saskatchewan,2020-03-12 12:00:00 a.m.,0,1,0,1,1,0.09
46,Manitoba,Manitoba,2020-03-12 12:00:00 a.m.,0,1,0,1,1,0.07
35,Ontario,Ontario,2020-03-12 12:00:00 a.m.,59,0,1,59,17,0.41
24,Quebec,Québec,2020-03-12 12:00:00 a.m.,13,0,0,13,6,0.15
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-12 12:00:00 a.m.,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,2020-03-12 12:00:00 a.m.,0,1,0,1,1,0.13
12,Nova Scotia,Nouvelle-Écosse,2020-03-12 12:00:00 a.m.,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-12 12:00:00 a.m.,0,0,0,0,0,0
60,Yukon,Yukon,2020-03-12 12:00:00 a.m.,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-12 12:00:00 a.m.,0,0,0,0,0,0
62,Nunavut,Nunavut,2020-03-12 12:00:00 a.m.,0,0,0,0,0,0
99,Repatriated travellers,Voyageurs rapatriés,2020-03-12 12:00:00 a.m.,1,0,0,1,0,0
1,Canada,Canada,2020-03-12 12:00:00 a.m.,138,3,2,141,38,0.38
59,British Columbia,Colombie-Britannique,2020-03-13 12:00:00 a.m.,53,0,1,53,7,1.05
48,Alberta,Alberta,2020-03-13 12:00:00 a.m.,23,0,0,23,4,0.53
47,Saskatchewan,Saskatchewan,2020-03-13 12:00:00 a.m.,0,1,0,1,0,0.09
46,Manitoba,Manitoba,2020-03-13 12:00:00 a.m.,1,2,0,3,2,0.22
35,Ontario,Ontario,2020-03-13 12:00:00 a.m.,79,0,1,79,20,0.54
24,Quebec,Québec,2020-03-13 12:00:00 a.m.,17,0,0,17,4,0.2
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-13 12:00:00 a.m.,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,2020-03-13 12:00:00 a.m.,1,0,0,1,0,0.13
12,Nova Scotia,Nouvelle-Écosse,2020-03-13 12:00:00 a.m.,0,0,0,0,0,0
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-13 12:00:00 a.m.,0,0,0,0,0,0
60,Yukon,Yukon,2020-03-13 12:00:00 a.m.,0,0,0,0,0,0
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-13 12:00:00 a.m.,0,0,0,0,0,0
62,Nunavut,Nunavut,2020-03-13 12:00:00 a.m.,0,0,0,0,0,0
